k,alpha,accuracy,time
90,10,30.7317,0.107997
90,15,33.9024,0.115976
90,20,36.5854,0.139063
90,25,37.3171,0.160158
90,30,34.878,0.18323
90,35,36.3415,0.219895
90,40,36.5854,0.233769
90,45,36.5854,0.272127
90,50,36.3415,0.318514
90,55,36.3415,0.303546
90,60,36.5854,0.334218
90,65,37.561,0.37478
90,70,36.8293,0.386655
90,75,37.8049,0.40526
90,80,37.561,0.421032
90,85,37.3171,0.476096
90,90,37.561,0.486769
90,95,37.561,0.47337
90,100,36.8293,0.517117
95,5,23.6585,0.0704415
95,10,28.0488,0.103476
95,15,33.4146,0.11106
95,20,34.1463,0.13948
95,25,35.122,0.185021
95,30,34.1463,0.19336
95,35,33.9024,0.236565
95,40,34.878,0.255341
95,45,34.6341,0.281285
95,50,34.1463,0.296743
95,55,33.9024,0.310611
95,60,33.6585,0.32952
95,65,33.6585,0.379169
95,70,34.1463,0.409226
95,75,33.4146,0.381059
95,80,33.6585,0.397193
95,85,33.4146,0.463835
95,90,33.4146,0.491262
95,95,32.6829,0.484515
95,100,32.9268,0.513658
100,5,20.9756,0.0705155
100,10,26.8293,0.099232
100,15,30.4878,0.111058
100,20,31.9512,0.133258
100,25,34.1463,0.160288
100,30,33.1707,0.200783
100,35,33.4146,0.238424
100,40,33.4146,0.238089
100,45,32.6829,0.274645
100,50,32.439,0.301841
100,55,32.1951,0.296306
100,60,31.7073,0.323149
100,65,31.7073,0.365398
100,70,30.7317,0.41174
100,75,30.7317,0.394898
100,80,31.4634,0.420688
100,85,30.9756,0.497915
100,90,31.4634,0.527085
100,95,31.2195,0.480171
100,100,30.4878,0.55272
